Espece,Port,Wetland Indicator Status,Maximum height,Height class,Seed weight,Seed class,SLA,SLA class,Frequency fen,Frequency bog
Endotropis alnifolia,Shrub,OBL,100,Height 3,NA,NA,NA,NA,46,0
Rhynchospora alba,Herbaceous,OBL,75,Height 2,0.45,Seed 1,16.98,SLA 2,10,23
Ribes hirtellum,Shrub,FAC,150,Height 3,1.50,Seed 3,NA,NA,26,1
Ribes uva-crispa,Shrub,UPL,150,Height 3,3.33,Seed 3,19.42,SLA 2,34,2
Rubus arcticus subsp. acaulis,Herbaceous,FACW,25,Height 1,1.68,Seed 3,30.97,SLA 3,39,7
Rubus chamaemorus,Herbaceous,FACW,30,Height 1,7.69,Seed 3,14.09,SLA 1,5,135
Rubus pubescens,Herbaceous,FACW,50,Height 2,2.50,Seed 3,36.35,SLA 3,10,3
Salix argyrocarpa,Shrub,FACU,100,Height 3,NA,Seed 1,NA,NA,10,4
Salix bebbiana,Shrub,FACW,600,Height 3,0.18,Seed 1,13.58,SLA 1,14,5
Salix pedicellaris,Shrub,OBL,150,Height 3,NA,Seed 1,15.23,SLA 2,54,6
Salix planifolia,Shrub,OBL,900,Height 3,NA,Seed 1,12.30,SLA 1,9,3
Salix pyrifolia,Shrub,FACW,500,Height 3,NA,Seed 1,13.93,SLA 1,6,4
Salix,Shrub,FACW,NA,Height 3,NA,Seed 1,12.29,SLA 1,32,1
Sanguisorba canadensis,Herbaceous,FACW,200,Height 3,11.51,Seed 3,NA,NA,191,1
Sarracenia purpurea,Herbaceous,OBL,80,Height 2,1.75,Seed 3,14.72,SLA 1,47,57
Scheuchzeria palustris,Herbaceous,OBL,40,Height 1,7.20,Seed 3,10.05,SLA 1,24,51
Selaginella selaginoides,Herbaceous,FACW,8,Height 1,NA,NA,23.31,SLA 2,21,1
Solidago macrophylla,Herbaceous,FACU,105,Height 3,0.83,Seed 2,29.29,SLA 3,4,5
Solidago uliginosa,Herbaceous,OBL,150,Height 3,0.26,Seed 1,NA,NA,37,1
Spiraea alba var. alba,Shrub,FACW,200,Height 3,0.88,Seed 2,12.32,SLA 1,5,1
Trichophorum alpinum,Herbaceous,OBL,40,Height 1,0.20,Seed 1,9.43,SLA 1,26,2
Lysimachia borealis,Herbaceous,FAC,20,Height 1,0.00,Seed 1,39.27,SLA 3,12,6
Trichophorum cespitosum,Herbaceous,OBL,45,Height 1,0.36,Seed 1,6.41,SLA 1,32,55
Triantha glutinosa,Herbaceous,FACW,50,Height 2,0.07,Seed 1,NA,NA,12,0
Triglochin maritima,Herbaceous,OBL,75,Height 2,0.59,Seed 2,10.89,SLA 1,1,0
Utricularia cornuta,Herbaceous,OBL,30,Height 1,0.43,Seed 1,NA,NA,165,6
Utricularia intermedia,Herbaceous,OBL,20,Height 1,NA,Seed 1,NA,NA,156,0
Vaccinium angustifolium,Shrub,FAC,60,Height 2,0.23,Seed 1,26.86,SLA 3,104,47
Vaccinium caespitosum,Shrub,FAC,25,Height 1,0.09,Seed 1,16.00,SLA 2,11,3
Vaccinium myrtilloides,Shrub,FACW,60,Height 2,0.20,Seed 1,13.72,SLA 1,6,11
Vaccinium oxycoccos,Shrub,OBL,15,Height 1,3.75,Seed 3,12.53,SLA 1,8,141
Vaccinium uliginosum,Shrub,FAC,60,Height 2,10.83,Seed 3,13.75,SLA 1,1,50
Vaccinium vitis-idaea,Shrub,FAC,20,Height 1,9.94,Seed 3,8.74,SLA 1,4,17
Viburnum edule,Shrub,FACW,200,Height 3,26.34,Seed 3,31.35,SLA 3,30,5
Viola blanda,Herbaceous,FACW,15,Height 1,0.96,Seed 2,NA,NA,3,3
Viola labradorica,Herbaceous,FAC,20,Height 1,NA,NA,NA,NA,80,0
Viola macloskeyi,Herbaceous,OBL,6,Height 1,0.47,Seed 1,45.56,SLA 3,55,6
