Espece;Code;Port;Max_height_cm;Seed_weight_mg;SLA_;Seed;Height;SLA
Aronia xprunifolia ;PHO.flo;Shrub;365;NA;NA;Seed 3;Height 3;NA
Calla palustris;Calla;Herbaceous;30;2.7265;31.20488822;Seed 3;Height 1;SLA 3
Caltha palustris;Caltha;Herbaceous;60;1.018641845;33.75833984;Seed 3;Height 2;SLA 3
Carex chordorrhiza;CAR.cho;Herbaceous;35;1.4855;21.84;Seed 3;Height 1;SLA 2
Carex limosa;CAR.lim;Herbaceous;60;1.582811111;23.66666667;Seed 3;Height 2;SLA 2
Carex magellanica subsp. irrigua;CAR.mag.irr;Herbaceous;80;1.238428571;25.78;Seed 3;Height 2;SLA 3
Carex michauxiana;CAR.mic;Herbaceous;70;1.2;NA;Seed 3;Height 2;NA
Carex oligosperma;CAR.oli;Herbaceous;90;4.254857143;19;Seed 3;Height 2;SLA 2
Carex rostrata;CAR.ros;Herbaceous;90;1.18026667;14.28043964;Seed 3;Height 2;SLA 1
Clintonia borealis;CLI.bor;Herbaceous;50;4.700000001;34.332585;Seed 3;Height 2;SLA 3
Cornus canadensis;COR.can;Herbaceous;15;10.67;16.01223154;Seed 3;Height 1;SLA 2
Empetrum nigrum;EMP.nig;Shrub;15;5.21080625;9.157848729;Seed 3;Height 1;SLA 1
Eriophorum virginicum;ERI.vir;Herbaceous;120;1.0632;NA;Seed 3;Height 3;NA
Galium labradoricum;GAL.lab;Herbaceous;30;1;NA;Seed 3;Height 1;NA
Iris versicolor;IRI.ver;Herbaceous;90;15.02026065;21.658298;Seed 3;Height 2;SLA 2
Juniperus communis;JUN.com;Shrub;150;14.2906901;6.803977193;Seed 3;Height 3;SLA 1
Juniperus horizontalis;JUN.hor;Shrub;50;13;4.04;Seed 3;Height 2;SLA 1
Larix laricina;LAR.lar;Tree;2500;2;16.88308981;Seed 3;Height 3;SLA 2
Linnaea borealis subsp. longiflora;LIN.bor;Herbaceous;60;1.25;20.59;Seed 3;Height 2;SLA 2
Maianthemum canadense;MAI.can;Herbaceous;22;8.999778807;30.91026494;Seed 3;Height 1;SLA 3
Maianthemum trifolium;MAI.tri;Herbaceous;40;12.13;NA;Seed 3;Height 1;NA
Menyanthes trifoliata;MEN.tri;Herbaceous;30;2.97472;22.69823414;Seed 3;Height 1;SLA 2
Myrica gale;MYR.gal;Shrub;150;1.17027158;10.4655593;Seed 3;Height 3;SLA 1
Nuphar variegata;NUP.var;Herbaceous;120;13.31;NA;Seed 3;Height 3;NA
Picea mariana;PIC.mar;Tree;3000;1.168020058;4.845048816;Seed 3;Height 3;SLA 1
Pinus banksiana;PIN.ban;Tree;2000;3.54329662;8.240211074;Seed 3;Height 3;SLA 1
Ribes hirtellum;RIB.hir;Shrub;150;1.5;NA;Seed 3;Height 3;NA
Ribes uva-crispa;RIB.uva;Shrub;150;3.331299999;19.424668;Seed 3;Height 3;SLA 2
Rubus arcticus subsp. acaulis;RUB.arc;Herbaceous;25;1.6774;30.971901;Seed 3;Height 1;SLA 3
Rubus chamaemorus;RUB.cha;Herbaceous;30;7.687;14.08530075;Seed 3;Height 1;SLA 1
Rubus pubescens;RUB.pub;Herbaceous;50;2.50002317;36.350844;Seed 3;Height 2;SLA 3
Sanguisorba canadensis;SAN.can;Herbaceous;200;11.50981328;NA;Seed 3;Height 3;NA
Sarracenia purpurea;SAR.pur;Herbaceous;80;1.747949749;14.72058387;Seed 3;Height 2;SLA 1
Scheuchzeria palustris;SCH.pal;Herbaceous;40;7.201;10.05;Seed 3;Height 1;SLA 1
Vaccinium oxycoccos;VAC.oxy;Shrub;15;3.74561538;12.52916437;Seed 3;Height 1;SLA 1
Vaccinium uliginosum;VAC.uli;Shrub;60;10.8312;13.74666641;Seed 3;Height 2;SLA 1
Vaccinium vitis-idaea;VAC.vit.ida;Shrub;20;9.94432;8.735127;Seed 3;Height 1;SLA 1
Viburnum edule;VIB.edu;Shrub;200;26.338575;31.348387;Seed 3;Height 3;SLA 3
